ts_code,bond_short_name,publish_date,end_date,issue_size,convert_price_initial,convert_price,convert_val,convert_vol,convert_ratio,acc_convert_val,acc_convert_vol,acc_convert_ratio,remain_size,total_shares
110092.SH,三房转债,20260731,20260731,2500000000.0,3.02,3.02,999.62,331.0,4e-05,381499991.58,126323113.0,15.26,2118500008.42,4022662789.0
111012.SH,福新转债,20260731,20260731,429018000.0,13.85,11.11,999.9,90.0,0.000233,327386991.93,24255357.0,76.3108,101631008.07,301889209.0
110087.SH,天业转债,20260731,20260731,3000000000.0,6.9,5.6,996.8,178.0,3.3e-05,2494993.6,443439.0,0.0832,2997505006.4,1707797699.0
110095.SH,双良转债,20260730,20260730,2600000000.0,11.93,6.18,994.98,161.0,3.8e-05,1199368994.98,193540199.0,46.1296,1400631005.02,2064201450.0
111004.SH,明新转债,20260730,20260730,673000000.0,24.51,24.37,2997.51,123.0,0.000445,1497997.51,61318.0,0.2226,671502002.49,162198618.0
110084.SH,贵燃转债,20260730,20260730,1000000000.0,7.18,7.1,994.0,140.0,9.9e-05,184271983.1,25800223.0,18.4272,815725016.9,1163985250.0
110099.SH,福能转债,20260730,20260730,3802000000.0,9.84,9.49,2989.35,315.0,7.9e-05,98966.89,10070.0,0.0026,3801901033.11,2780147870.0
110092.SH,三房转债,20260730,20260730,2500000000.0,3.02,3.02,999.62,331.0,4e-05,381498991.96,126322782.0,15.26,2118501008.04,4022662458.0
110074.SH,精达转债,20260801,20260730,787000000.0,3.75,3.26,165238.14,49662.0,0.020996,786412000.0,227075814.0,99.9253,588000.0,2231814338.0
110077.SH,洪城转债,20260730,20260730,1800000000.0,7.13,4.41,5218939.53,1183433.0,0.289941,1216116133.95,218109667.0,67.562,583883866.05,1303333487.0
110100.SH,龙建转债,20260730,20260730,1000000000.0,4.59,4.59,996.03,217.0,0.0001,13949.01,3039.0,0.0014,999986050.99,1013699085.0
110081.SH,闻泰转债,20260730,20260730,8600000000.0,96.69,18.36,1982.88,108.0,2.3e-05,1393302449.44,75737193.0,16.2012,7206661550.56,1320345853.0
110074.SH,精达转债,20260729,20260729,787000000.0,3.75,3.26,1152905.52,353652.0,0.146494,786246761.86,227026152.0,99.9043,753238.14,2231764676.0
110100.SH,龙建转债,20260729,20260729,1000000000.0,4.59,4.59,996.03,217.0,0.0001,12952.98,2822.0,0.0013,999987047.02,1013698868.0
110099.SH,福能转债,20260729,20260729,3802000000.0,9.84,9.49,4991.74,526.0,0.000131,95977.54,9755.0,0.0025,3801904022.46,2780147555.0
110097.SH,天润转债,20260729,20260729,990000000.0,8.3,8.19,2997.54,366.0,0.000303,1034996.72,125005.0,0.1045,988965003.28,315515296.0
110077.SH,洪城转债,20260729,20260729,1800000000.0,7.13,4.41,4228938.63,958943.0,0.234941,1210897194.42,216926234.0,67.2721,589102805.58,1302150054.0
110099.SH,福能转债,20260728,20260728,3802000000.0,9.84,9.49,996.45,105.0,2.6e-05,90985.8,9229.0,0.0024,3801909014.2,2780147029.0
110100.SH,龙建转债,20260728,20260728,1000000000.0,4.59,4.59,11956.95,2605.0,0.001196,11956.95,2605.0,0.0012,999988043.05,1013698651.0
110074.SH,精达转债,20260728,20260728,787000000.0,3.75,3.26,4127710.94,1266169.0,0.524487,785093856.34,226672500.0,99.7578,1906143.66,2231411024.0
110077.SH,洪城转债,20260728,20260728,1800000000.0,7.13,4.41,10049926.95,2278895.0,0.558329,1206668255.79,215967291.0,67.0371,593331744.21,1301191111.0
110081.SH,闻泰转债,20260728,20260728,8600000000.0,96.69,18.36,2992.68,163.0,3.5e-05,1393300466.56,75737085.0,16.2012,7206663533.44,1320345745.0
110077.SH,洪城转债,20260727,20260727,1800000000.0,7.13,4.41,7721910.0,1751000.0,0.428995,1196618328.84,213688396.0,66.4788,603381671.16,1298912216.0
110074.SH,精达转债,20260727,20260727,787000000.0,3.75,3.26,69502890.3,21319905.0,8.831371,780966145.4,225406331.0,99.2333,6033854.6,2230144855.0
110074.SH,精达转债,20260724,20260724,787000000.0,3.75,3.26,21213736.06,6507281.0,2.695519,711463255.1,204086426.0,90.4019,75536744.9,2208824950.0
110092.SH,三房转债,20260724,20260724,2500000000.0,3.02,3.02,999.62,331.0,4e-05,381497992.34,126322451.0,15.2599,2118502007.66,4022662127.0
110077.SH,洪城转债,20260724,20260724,1800000000.0,7.13,4.41,240993.27,54647.0,0.013389,1188896418.84,211937396.0,66.0498,611103581.16,1297161216.0
110077.SH,洪城转债,20260723,20260723,1800000000.0,7.13,4.41,831977.37,188657.0,0.046221,1188655425.57,211882749.0,66.0364,611344574.43,1297106569.0
110073.SH,国投转债,20260725,20260723,8000000000.0,15.25,9.27,56433.43,5782.0,0.000705,1911000.0,186204.0,0.0239,7998089000.0,6394097773.0
110074.SH,精达转债,20260723,20260723,787000000.0,3.75,3.26,6271871.62,1923887.0,0.796934,690249519.04,197579145.0,87.7064,96750480.96,2202317669.0
111018.SH,华康转债,20260723,20260723,1303023000.0,16.89,15.96,989.52,62.0,7.6e-05,809989.52,47998.0,0.0622,1302213010.48,303050178.0
110073.SH,国投转债,20260722,20260722,8000000000.0,15.25,9.27,98706.96,10648.0,0.001234,1854566.57,180422.0,0.0232,7998145433.43,6394091991.0
110074.SH,精达转债,20260722,20260722,787000000.0,3.75,3.26,33805746.86,10369861.0,4.295521,683977647.42,195655258.0,86.9095,103022352.58,2200393782.0
110077.SH,洪城转债,20260722,20260722,1800000000.0,7.13,4.41,30993.48,7028.0,0.001722,1187823448.2,211694092.0,65.9902,612176551.8,1296917912.0
111024.SH,澳弘转债,20260722,20260722,580000000.0,34.04,33.54,5970.12,178.0,0.001029,50900.5,1495.0,0.0088,579949099.5,142925445.0
110074.SH,精达转债,20260721,20260721,787000000.0,3.75,3.26,15920813.1,4883685.0,2.022975,650171900.56,185285397.0,82.614,136828099.44,2190023921.0
110075.SH,南航转债,20260721,20260721,16000000000.0,6.24,6.17,999.54,162.0,6e-06,10104074999.08,1619243562.0,63.1505,5895925000.92,18120969844.0
110077.SH,洪城转债,20260721,20260721,1800000000.0,7.13,4.41,9276955.38,2103618.0,0.515386,1187792454.72,211687064.0,65.9885,612207545.28,1296910884.0
110073.SH,国投转债,20260721,20260721,8000000000.0,15.25,9.27,175499.64,18932.0,0.002194,1755859.61,169774.0,0.0219,7998244140.39,6394081343.0
110081.SH,闻泰转债,20260721,20260721,8600000000.0,96.69,18.36,991.44,54.0,1.2e-05,1393297473.88,75736922.0,16.2011,7206666526.12,1320345582.0
110092.SH,三房转债,20260721,20260721,2500000000.0,3.02,3.02,10998.84,3642.0,0.00044,381496992.72,126322120.0,15.2599,2118503007.28,4022661796.0
111012.SH,福新转债,20260720,20260720,429018000.0,13.85,11.07,996.3,90.0,0.000232,327385992.03,24255267.0,76.3105,101632007.97,301889119.0
110081.SH,闻泰转债,20260720,20260720,8600000000.0,96.69,18.36,144970.56,7896.0,0.001686,1393296482.44,75736868.0,16.2011,7206667517.56,1320345528.0
110073.SH,国投转债,20260720,20260720,8000000000.0,15.25,9.27,194447.52,20976.0,0.002431,1580359.97,150842.0,0.0198,7998419640.03,6394062411.0
110074.SH,精达转债,20260720,20260720,787000000.0,3.75,3.26,2501893.52,767452.0,0.317903,634251087.46,180401712.0,80.591,152748912.54,2185140236.0
110077.SH,洪城转债,20260720,20260720,1800000000.0,7.13,4.41,3985934.4,903840.0,0.221441,1178515499.34,209583446.0,65.4731,621484500.66,1294807266.0
110092.SH,三房转债,20260720,20260720,2500000000.0,3.02,3.02,11998.46,3973.0,0.00048,381485993.88,126318478.0,15.2594,2118514006.12,4022658154.0
110081.SH,闻泰转债,20260717,20260717,8600000000.0,96.69,18.36,645959.88,35183.0,0.007511,1393151511.88,75728972.0,16.1994,7206812488.12,1320337632.0
110073.SH,国投转债,20260717,20260717,8000000000.0,15.25,9.27,86739.39,9357.0,0.001084,1385912.45,129866.0,0.0173,7998614087.55,6394041435.0
110074.SH,精达转债,20260717,20260717,787000000.0,3.75,3.26,25852950.78,7930353.0,3.285,631749193.94,179634260.0,80.2731,155250806.06,2184372784.0
110077.SH,洪城转债,20260717,20260717,1800000000.0,7.13,4.41,1995974.82,452602.0,0.110887,1174529564.94,208679606.0,65.2516,625470435.06,1293903426.0
110081.SH,闻泰转债,20260716,20260716,8600000000.0,96.69,18.36,31964.76,1741.0,0.000372,1392505552.0,75693789.0,16.1919,7207458448.0,1320302449.0
110074.SH,精达转债,20260716,20260716,787000000.0,3.75,3.26,1592924.02,488627.0,0.202405,605896243.16,171703907.0,76.9881,181103756.84,2176442431.0
111000.SH,起帆转债,20260716,20260716,1000000000.0,20.1,17.29,985.53,57.0,9.9e-05,880967.87,44856.0,0.0881,999119032.13,412908156.0
110073.SH,国投转债,20260716,20260716,8000000000.0,15.25,9.27,34883.01,3763.0,0.000436,1299173.06,120509.0,0.0162,7998700826.94,6394032078.0
110099.SH,福能转债,20260716,20260716,3802000000.0,9.84,9.49,2989.35,315.0,7.9e-05,89989.35,9124.0,0.0024,3801910010.65,2780146924.0
110077.SH,洪城转债,20260716,20260716,1800000000.0,7.13,4.41,2958960.06,670966.0,0.164387,1172533590.12,208227004.0,65.1408,627466409.88,1293450824.0
110077.SH,洪城转债,20260715,20260715,1800000000.0,7.13,4.41,12247901.82,2777302.0,0.680439,1169574630.06,207556038.0,64.9764,630425369.94,1292779858.0
110074.SH,精达转债,20260715,20260715,787000000.0,3.75,3.26,2449929.12,751512.0,0.3113,604303319.14,171215280.0,76.7857,182696680.86,2175953804.0
