model,factor,rebalance_date,return_date,n_obs,ic,rank_ic
BS,valuation,2022-01-28,2022-02-25,263,-0.15226093338474417,0.11221215727354521
BS,volatility,2022-01-28,2022-02-25,263,0.08376242255963862,0.0007038574289611934
BS,bs_deviation,2022-02-25,2022-03-25,289,0.001957100701802174,-0.058633118561826354
BS,liquidity,2022-02-25,2022-03-25,289,-0.12536047760466618,-0.10386737859443981
BS,momentum,2022-02-25,2022-03-25,289,0.04207929216541015,0.10164211978012345
BS,price_volume,2022-02-25,2022-03-25,289,-0.05368828965428777,-0.06276995585252357
BS,valuation,2022-02-25,2022-03-25,289,0.2215157554710187,0.28480789881875673
BS,volatility,2022-02-25,2022-03-25,289,-0.1342040137132174,-0.34329236765700194
BS,bs_deviation,2022-03-25,2022-04-29,275,-0.06882277787681568,-0.12211188367329276
BS,liquidity,2022-03-25,2022-04-29,275,-0.18879978857994237,-0.23751247800121175
BS,momentum,2022-03-25,2022-04-29,275,-0.028093300427259042,0.033966706096188806
BS,price_volume,2022-03-25,2022-04-29,275,-0.19675384807031185,-0.32156198609388076
BS,valuation,2022-03-25,2022-04-29,275,0.15850127977042605,0.23197022590231095
BS,volatility,2022-03-25,2022-04-29,275,-0.21498448726348687,-0.39494705865381846
BS,bs_deviation,2022-04-29,2022-05-27,300,-0.1515851606673467,0.046598739985999844
BS,liquidity,2022-04-29,2022-05-27,300,0.26817648641133646,0.1465185168724097
BS,momentum,2022-04-29,2022-05-27,300,-0.00016860925254209603,-0.35537772641918247
BS,price_volume,2022-04-29,2022-05-27,300,0.19604174755930726,0.13453349481660906
BS,valuation,2022-04-29,2022-05-27,300,-0.352533891312544,-0.1407166746297181
BS,volatility,2022-04-29,2022-05-27,300,0.4920853492614039,0.33822998033311474
BS,bs_deviation,2022-05-27,2022-06-24,281,-0.16719028785723974,-0.03931032244805244
BS,liquidity,2022-05-27,2022-06-24,281,0.2751792012389795,0.18719239797077306
BS,momentum,2022-05-27,2022-06-24,281,0.30017130379676615,0.38970621640039366
BS,price_volume,2022-05-27,2022-06-24,281,0.1952834038324721,0.16635009572845566
BS,valuation,2022-05-27,2022-06-24,281,-0.3188184212546327,-0.25498220640569386
BS,volatility,2022-05-27,2022-06-24,281,0.3540667576598373,0.35362956873519447
BS,bs_deviation,2022-06-24,2022-07-29,316,0.32564669885973596,0.11005755814285145
BS,liquidity,2022-06-24,2022-07-29,316,0.04076537558166113,-0.11712045757487598
BS,momentum,2022-06-24,2022-07-29,316,0.17865467061480486,0.15566178553839777
BS,price_volume,2022-06-24,2022-07-29,316,0.09312632784626625,-0.0362249312135508
BS,valuation,2022-06-24,2022-07-29,316,0.09878393297119656,-0.047622090005191076
